instance         | our makespan | microsec   | deviation from given makespans

j12010_1.sm      | 111          | 7657900    | 0,00
j12010_10.sm     | 72           | 5281900    | 9,09
j12010_2.sm      | 91           | 2424500    | 0,00
j12010_3.sm      | 106          | 2870200    | 6,00
j12010_4.sm      | 103          | 2936800    | 5,10
j12010_5.sm      | 97           | 2897000    | -3,96  New Best Makespan!
j12010_6.sm      | 92           | 1584400    | 0,00
j12010_7.sm      | 90           | 1822300    | 7,14
j12010_8.sm      | 114          | 1437100    | 0,00
j12010_9.sm      | 77           | 1380700    | 0,00
j12011_1.sm      | 214          | 1449600    | 8,08
j12011_10.sm     | 231          | 1466200    | 8,96
j12011_2.sm      | 196          | 1318300    | 6,52
j12011_3.sm      | 251          | 2549800    | 10,09
j12011_4.sm      | 243          | 1133800    | 6,11
j12011_5.sm      | 253          | 1075300    | 7,66
j12011_6.sm      | 267          | 1051600    | 11,72
j12011_7.sm      | 200          | 1047000    | 10,50
j12011_8.sm      | 200          | 1077200    | 9,89
j12011_9.sm      | 201          | 1427400    | 1,01
j12012_1.sm      | 165          | 1180600    | 8,55
j12012_10.sm     | 167          | 1053500    | 2,45
j12012_2.sm      | 144          | 1960900    | 10,77
j12012_3.sm      | 164          | 1449600    | 9,33
j12012_4.sm      | 151          | 1542700    | 4,86
j12012_5.sm      | 201          | 1750300    | 8,65
j12012_6.sm      | 150          | 1155500    | 10,29
j12012_7.sm      | 145          | 1583100    | 9,02
j12012_8.sm      | 147          | 823400     | 12,21
j12012_9.sm      | 130          | 745500     | 7,44
j12013_1.sm      | 147          | 795200     | 5,76
j12013_10.sm     | 115          | 1394000    | 11,65
j12013_2.sm      | 106          | 1325300    | 8,16
j12013_3.sm      | 138          | 771300     | 4,55
j12013_4.sm      | 131          | 1529500    | 4,80
j12013_5.sm      | 111          | 961100     | 6,73
j12013_6.sm      | 121          | 554300     | 5,22
j12013_7.sm      | 133          | 651900     | 9,92
j12013_8.sm      | 113          | 561800     | 9,71
j12013_9.sm      | 101          | 532200     | 6,32
j12014_1.sm      | 103          | 442000     | 11,96
j12014_10.sm     | 91           | 703700     | 4,60
j12014_2.sm      | 111          | 875200     | 7,77
j12014_3.sm      | 102          | 443800     | 6,25
j12014_4.sm      | 105          | 725700     | 5,00
j12014_5.sm      | 115          | 611800     | 7,48
j12014_6.sm      | 101          | 460100     | 8,60
j12014_7.sm      | 107          | 543200     | 9,18
j12014_8.sm      | 126          | 491900     | -0,79  New Best Makespan!
j12014_9.sm      | 112          | 441400     | 10,89
j12015_1.sm      | 81           | 495000     | 0,00
j12015_10.sm     | 96           | 381700     | 5,49
j12015_2.sm      | 80           | 419400     | -2,44  New Best Makespan!
j12015_3.sm      | 96           | 271300     | 7,87
j12015_4.sm      | 89           | 421100     | 5,95
j12015_5.sm      | 87           | 402800     | 0,00
j12015_6.sm      | 97           | 266300     | 0,00
j12015_7.sm      | 75           | 271300     | 0,00
j12015_8.sm      | 126          | 425400     | 0,00
j12015_9.sm      | 109          | 506500     | 0,00
j12016_1.sm      | 236          | 455200     | 7,76
j12016_10.sm     | 261          | 451900     | 7,85
j12016_2.sm      | 282          | 289800     | 8,46
j12016_3.sm      | 291          | 290200     | 11,92
j12016_4.sm      | 243          | 350300     | 11,47
j12016_5.sm      | 238          | 250800     | 6,25
j12016_6.sm      | 249          | 377400     | 10,67
j12016_7.sm      | 233          | 335400     | 10,43
j12016_8.sm      | 234          | 256500     | 5,88
j12016_9.sm      | 251          | 355400     | 12,05
j12017_1.sm      | 161          | 263800     | 5,23
j12017_10.sm     | 158          | 231000     | 7,48
j12017_2.sm      | 145          | 240900     | 5,07
j12017_3.sm      | 130          | 270000     | 10,17
j12017_4.sm      | 141          | 228000     | 6,02
j12017_5.sm      | 155          | 238100     | 3,33
j12017_6.sm      | 159          | 255500     | 7,43
j12017_7.sm      | 171          | 236700     | 8,23
j12017_8.sm      | 151          | 243900     | 6,34
j12017_9.sm      | 162          | 229600     | 8,72
j12018_1.sm      | 157          | 231400     | 7,53
j12018_10.sm     | 110          | 221500     | -0,90  New Best Makespan!
j12018_2.sm      | 140          | 237900     | 6,06
j12018_3.sm      | 118          | 229700     | 10,28
j12018_4.sm      | 118          | 297800     | 7,27
j12018_5.sm      | 134          | 226400     | 3,08
j12018_6.sm      | 157          | 292300     | 6,80
j12018_7.sm      | 136          | 222200     | 7,09
j12018_8.sm      | 124          | 298900     | 6,90
j12018_9.sm      | 106          | 314000     | 8,16
j12019_1.sm      | 100          | 323400     | 11,11
j12019_10.sm     | 93           | 220500     | 4,49
j12019_2.sm      | 98           | 217000     | 11,36
j12019_3.sm      | 97           | 209500     | 5,43
j12019_4.sm      | 126          | 304300     | 7,69
j12019_5.sm      | 126          | 295000     | 13,51
j12019_6.sm      | 104          | 355400     | 9,47
j12019_7.sm      | 104          | 219700     | 10,64
j12019_8.sm      | 105          | 207900     | 5,00
j12019_9.sm      | 106          | 238900     | 12,77
j1201_1.sm       | 122          | 217900     | 5,17
j1201_10.sm      | 134          | 207100     | 14,53
j1201_2.sm       | 123          | 336200     | 2,50
j1201_3.sm       | 139          | 343100     | 7,75
j1201_4.sm       | 114          | 205000     | 6,54
j1201_5.sm       | 133          | 207300     | 6,40
j1201_6.sm       | 94           | 206400     | 8,05
j1201_7.sm       | 139          | 215100     | 10,32
j1201_8.sm       | 123          | 334100     | 5,13
j1201_9.sm       | 138          | 289100     | 9,52
j12020_1.sm      | 100          | 327000     | 5,26
j12020_10.sm     | 89           | 289500     | 9,88
j12020_2.sm      | 100          | 290400     | -1,96  New Best Makespan!
j12020_3.sm      | 93           | 289100     | 13,41
j12020_4.sm      | 89           | 283400     | 0,00
j12020_5.sm      | 77           | 288900     | 8,45
j12020_6.sm      | 80           | 273800     | 0,00
j12020_7.sm      | 81           | 283600     | 0,00
j12020_8.sm      | 120          | 289500     | 3,45
j12020_9.sm      | 80           | 278100     | 0,00
j12021_1.sm      | 136          | 214100     | 13,33
j12021_10.sm     | 122          | 216300     | 14,02
j12021_2.sm      | 135          | 218900     | 8,00
j12021_3.sm      | 161          | 219800     | 7,33
j12021_4.sm      | 153          | 369500     | 10,07
j12021_5.sm      | 131          | 323200     | 8,26
j12021_6.sm      | 127          | 220900     | 3,25
j12021_7.sm      | 131          | 234600     | 11,02
j12021_8.sm      | 141          | 227600     | -2,08  New Best Makespan!
j12021_9.sm      | 120          | 334300     | 7,14
j12022_1.sm      | 122          | 345000     | 12,96
